Age,MP,PER,TS%,FTr,TRB%,AST%,STL%,USG%,W/L%,Share,Season,MVP_Rank,Awards,Player,Team,prominence_score,fatigue_decay,fatigue_streak,is_defending_mvp,MVP_Category,MVP_Performance_Category
27.0,2055.0,19.5,0.617,0.413,12.5,14.2,1.3,21.1,0.646,0.0,2023,0,No awards,Aaron Gordon,DEN,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
25.0,1286.0,18.7,0.563,0.361,11.5,11.6,1.5,24.6,0.463,0.0,1980,0,No awards,Abdul Jeelani,POR,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
24.0,2674.0,24.3,0.635,0.415,11.3,12.3,1.8,27.8,0.293,0.0,1980,0,AS,Adrian Dantley,UTA,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
25.0,3417.0,24.3,0.622,0.482,8.5,16.3,1.6,28.4,0.341,0.022,1981,12,"MVP-12,AS,NBA2",Adrian Dantley,UTA,0.08333333333333333,0.0,0.0,0,Outside Top 5 (with votes),Outside Top 5
26.0,3222.0,24.2,0.631,0.516,8.6,15.5,1.4,27.9,0.305,0.01,1982,15,"MVP-15,AS",Adrian Dantley,UTA,0.06666666666666667,0.08333333333333333,0.0,0,Outside Top 5 (with votes),Outside Top 5
28.0,2984.0,24.6,0.652,0.658,7.9,16.2,0.9,28.2,0.549,0.116,1984,7,"MVP-7,AS,NBA2",Adrian Dantley,UTA,0.14285714285714285,0.05416666666666667,0.0,0,Outside Top 5 (with votes),Outside Top 5
29.0,1971.0,21.9,0.607,0.565,8.5,15.2,1.3,27.7,0.5,0.0,1985,0,AS,Adrian Dantley,UTA,0.0,0.19702380952380952,0.0,0,No MVP Votes,Outside Top 5
30.0,2744.0,24.6,0.629,0.548,7.8,16.7,1.1,30.0,0.512,0.003,1986,16,"MVP-16,AS",Adrian Dantley,UTA,0.0,0.09851190476190476,0.0,0,Outside Top 5 (with votes),Outside Top 5
31.0,2736.0,18.6,0.614,0.59,6.5,8.8,1.1,23.7,0.634,0.0,1987,0,No awards,Adrian Dantley,DET,0.0,0.04925595238095238,0.0,0,No MVP Votes,Outside Top 5
32.0,2144.0,19.9,0.619,0.663,5.9,11.9,0.9,24.2,0.659,0.001,1988,14,MVP-14,Adrian Dantley,DET,0.07142857142857142,0.02462797619047619,0.0,0,Outside Top 5 (with votes),Outside Top 5
23.0,2845.0,19.4,0.594,0.319,16.4,10.4,1.1,17.6,0.646,0.0,2010,0,AS,Al Horford,ATL,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
24.0,2704.0,20.7,0.587,0.204,16.0,17.5,1.2,19.7,0.537,0.0,2011,0,"AS,NBA3",Al Horford,ATL,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
26.0,2756.0,19.8,0.56,0.196,15.7,15.3,1.5,21.8,0.537,0.0,2013,0,No awards,Al Horford,ATL,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
28.0,2318.0,21.4,0.563,0.146,13.4,18.6,1.5,22.2,0.732,0.0,2015,0,AS,Al Horford,ATL,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
29.0,2631.0,19.4,0.565,0.123,12.4,16.7,1.3,20.6,0.585,0.0,2016,0,"DPOY-13,AS",Al Horford,ATL,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
32.0,1973.0,20.2,0.605,0.131,12.4,21.2,1.4,18.9,0.598,0.0,2019,0,No awards,Al Horford,BOS,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
22.0,2319.0,19.8,0.547,0.334,19.5,7.2,1.1,22.4,0.293,0.0,2007,0,No awards,Al Jefferson,BOS,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
23.0,2919.0,22.7,0.535,0.273,18.1,7.5,1.3,27.5,0.268,0.0,2008,0,No awards,Al Jefferson,MIN,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
25.0,2463.0,19.0,0.524,0.236,16.0,10.0,1.3,24.3,0.183,0.0,2010,0,No awards,Al Jefferson,MIN,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
26.0,2940.0,20.1,0.528,0.219,16.3,9.2,0.8,24.2,0.476,0.0,2011,0,No awards,Al Jefferson,UTA,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
27.0,2075.0,22.8,0.52,0.169,16.2,12.1,1.2,25.7,0.545,0.0,2012,0,No awards,Al Jefferson,UTA,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
28.0,2578.0,20.9,0.522,0.176,16.3,12.0,1.6,25.3,0.524,0.0,2013,0,No awards,Al Jefferson,UTA,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
29.0,2553.0,22.7,0.532,0.201,17.5,12.8,1.4,29.3,0.524,0.027,2014,8,"MVP-8,NBA3",Al Jefferson,CHA,0.125,0.0,0.0,0,Outside Top 5 (with votes),Outside Top 5
30.0,1992.0,19.7,0.5,0.163,15.1,11.6,1.2,26.3,0.402,0.0,2015,0,No awards,Al Jefferson,CHO,0.0,0.125,0.0,0,No MVP Votes,Outside Top 5
32.0,931.0,18.9,0.526,0.18,16.8,11.0,1.0,26.1,0.512,0.0,2017,0,No awards,Al Jefferson,IND,0.0,0.03125,0.0,0,No MVP Votes,Outside Top 5
25.0,2000.0,18.4,0.534,0.515,13.0,6.7,1.1,23.9,0.61,0.0,1998,0,MIP-1,Alan Henderson,ATL,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
27.0,3093.0,19.7,0.549,0.295,10.7,13.4,1.5,24.0,0.451,0.0,1981,0,No awards,Alex English,DEN,0.0,0.0,0.0,0,No MVP Votes,Outside Top 5
28.0,3015.0,22.2,0.596,0.285,9.9,19.9,1.3,25.3,0.561,0.017,1982,13,"MVP-13,AS,NBA2",Alex English,DEN,0.07692307692307693,0.0,0.0,0,Outside Top 5 (with votes),Outside Top 5
29.0,2988.0,24.1,0.561,0.264,10.2,19.5,1.7,28.9,0.549,0.056,1983,6,"MVP-6,AS,NBA2",Alex English,DEN,0.16666666666666666,0.07692307692307693,0.0,0,Outside Top 5 (with votes),Outside Top 5
30.0,2870.0,22.2,0.57,0.249,8.5,20.9,1.3,27.9,0.463,0.0,1984,0,AS,Alex English,DEN,0.0,0.20512820512820512,0.0,0,No MVP Votes,Outside Top 5
